latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km,NDVI,NDBI,NDWI
23.16089,72.2728,332.07,0.43,0.62,2026-03-22,905,N20,VIIRS,n,2,299.67,1.59,D,0,431,1381311459,,,industrial,,,8715.84,0,0,0,8.716,0.7577478116867755,-0.22083470259612226,-0.6358432408630559
23.20924,72.2981,345.39,0.43,0.62,2026-03-22,905,N20,VIIRS,n,2,300.32,3.48,D,0,431,1381311459,,,industrial,,,5038.44,0,0,0,5.038,0.2865566037735849,0.11570415400202634,-0.36417630509534227
23.21135,72.29937,352.51,0.43,0.62,2026-03-22,905,N20,VIIRS,n,2,301.66,5.22,D,0,431,1381311459,,,industrial,,,4962.7,0,0,0,4.963,0.10681907765076862,0.15915556220991167,-0.20852162685603615
22.81513,72.38505,342.66,0.43,0.46,2026-03-23,846,N20,VIIRS,n,2,307.47,7.84,D,0,230,871656250,,,industrial,,,795.57,0,3,3,0.796,0.1462140992167102,0.2167707404103479,-0.2949852507374631
22.81946,72.4229,331.75,0.43,0.46,2026-03-23,846,N20,VIIRS,l,2,303.32,2.74,D,0,231,871656251,,,industrial,,,4436.1,0,0,0,4.436,0.5131123206333498,0.013548387096774193,-0.5305305305305306
22.93538,72.38679,341.58,0.43,0.46,2026-03-23,846,N20,VIIRS,n,2,307.54,3.66,D,0,147,651103946,,,industrial,,,4462.78,0,0,0,4.463,0.16659017898118403,0.31222943722943725,-0.31573498964803315
22.94121,72.43755,337.01,0.43,0.46,2026-03-23,846,N20,VIIRS,n,2,303.85,3.44,D,0,257,871663130,,,,works,,1275.92,0,0,7,1.276,0.3883417620441842,0.06740568567852673,-0.4742792538157151
22.94282,72.48921,337.89,0.44,0.46,2026-03-23,846,N20,VIIRS,n,2,307.64,7.92,D,0,150,651103952,,,industrial,,,2141.48,0,0,0,2.141,0.15183571873055382,0.2093122597180692,-0.27129120879120877
22.9433,72.4935,347.87,0.44,0.46,2026-03-23,846,N20,VIIRS,n,2,306.96,7.92,D,0,150,651103952,,,industrial,,,2375.75,0,0,0,2.376,0.12779417967102488,0.3072538860103627,-0.23510392609699768
22.94755,72.49294,332.92,0.44,0.46,2026-03-23,846,N20,VIIRS,l,2,305.36,7.92,D,0,150,651103952,,,industrial,,,2014.24,0,0,0,2.014,0.12168053904082442,0.28787116255661804,-0.22616984402079723
