latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km
23.14455,72.31611,340.29,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,300.68,4.98,D,0,430,1378877884,,,industrial,,,6006.32,0,0,0,6.006
23.14731,72.31373,332.81,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,297.94,4.67,D,0,430,1378877884,,,industrial,,,5980.01,0,0,0,5.98
22.99295,72.67189,304.41,0.53,0.5,2026-03-28,2121,N20,VIIRS,n,2,292.97,1.08,N,0,372,1222271351,Vastral Bus Depot,bus_depot,industrial,,,2176.93,0,0,0,2.177
22.83125,72.57391,341.08,0.45,0.39,2026-03-29,834,N20,VIIRS,n,2,307.79,4.38,D,0,49,197365170,,,industrial,,,1711.19,0,0,1,1.711
22.8515,72.48209,336.4,0.45,0.39,2026-03-29,834,N20,VIIRS,n,2,305.29,3.65,D,0,13,4398393889,Shri Raj meatal,,,works,,7391.68,0,0,0,7.392
22.88402,72.64179,338.0,0.45,0.39,2026-03-29,834,N20,VIIRS,n,2,305.26,2.63,D,0,196,663457137,,,industrial,,,3683.12,0,0,0,3.683
22.88669,72.64285,339.23,0.45,0.39,2026-03-29,834,N20,VIIRS,n,2,306.86,3.88,D,0,196,663457137,,,industrial,,,3437.57,0,0,0,3.438
23.24766,72.26569,338.67,0.44,0.38,2026-03-29,834,N20,VIIRS,n,2,301.42,2.82,D,0,350,973430690,Shiyapura Hydro Power Plant No.1,,industrial,,plant,7504.92,0,0,0,7.505
22.7878,72.48606,340.11,0.41,0.37,2026-03-30,815,N20,VIIRS,l,2,311.42,5.51,D,0,224,674885115,,,industrial,,,8948.54,0,0,0,8.949
22.87034,72.6946,338.93,0.4,0.37,2026-03-30,815,N20,VIIRS,l,2,311.13,5.43,D,0,196,663457137,,,industrial,,,4193.92,0,0,0,4.194
22.90777,72.27724,344.97,0.41,0.37,2026-03-30,815,N20,VIIRS,n,2,313.2,5.07,D,0,411,1319229897,,,industrial,,,6562.36,0,0,0,6.562
22.91181,72.28054,337.24,0.41,0.37,2026-03-30,815,N20,VIIRS,l,2,309.96,5.07,D,0,411,1319229897,,,industrial,,,6267.52,0,0,0,6.268
22.91519,72.27989,343.9,0.41,0.37,2026-03-30,815,N20,VIIRS,n,2,308.71,5.4,D,0,411,1319229897,,,industrial,,,5897.89,0,0,0,5.898
22.94102,72.52146,340.12,0.45,0.47,2026-03-31,756,N20,VIIRS,n,2,304.95,4.33,D,0,75,321136519,,,industrial,,,3297.65,0,0,0,3.298
23.0004,72.32112,330.95,0.46,0.63,2026-04-01,737,N20,VIIRS,l,2,304.52,1.22,D,0,47,196518647,,,industrial,,,2317.72,0,0,0,2.318
