grid_lat,grid_lon,first_detection,last_detection,total_detections,detection_days,average_frp,maximum_frp,latitude,longitude,observation_period_days,detection_frequency,persistence
22.88,72.58,2026-05-25,2026-05-25,1,1,2.49,2.49,22.88043,72.5886,1,1.0,Non-Persistent
23.24,72.43,2026-03-17,2026-03-17,1,1,2.48,2.48,23.24492,72.43323,1,1.0,Non-Persistent
22.95,72.56,2026-04-21,2026-04-21,1,1,2.46,2.46,22.95196,72.56094,1,1.0,Non-Persistent
22.97,72.3,2026-03-22,2026-03-22,1,1,2.38,2.38,22.97167,72.30365,1,1.0,Non-Persistent
22.81,72.28,2026-05-27,2026-05-27,1,1,2.37,2.37,22.81517,72.28223,1,1.0,Non-Persistent
22.91,72.33,2026-03-09,2026-03-09,1,1,2.35,2.35,22.91476,72.33144,1,1.0,Non-Persistent
22.8,72.33,2026-05-09,2026-05-09,1,1,2.34,2.34,22.80109,72.33934,1,1.0,Non-Persistent
22.85,72.43,2026-03-03,2026-03-03,1,1,2.23,2.23,22.85421,72.43613,1,1.0,Non-Persistent
22.83,72.38,2026-03-18,2026-03-18,1,1,2.16,2.16,22.83764,72.38744,1,1.0,Non-Persistent
23.0,72.43,2026-05-14,2026-05-14,1,1,2.1,2.1,23.00257,72.43394,1,1.0,Non-Persistent
22.92,72.74,2026-03-09,2026-03-09,1,1,1.74,1.74,22.92537,72.74552,1,1.0,Non-Persistent
23.02,72.61,2026-03-07,2026-03-07,1,1,1.66,1.66,23.02011,72.61412,1,1.0,Non-Persistent
22.95,72.74,2026-03-13,2026-03-13,1,1,1.65,1.65,22.95616,72.74741,1,1.0,Non-Persistent
23.16,72.27,2026-03-22,2026-03-22,1,1,1.59,1.59,23.16089,72.2728,1,1.0,Non-Persistent
22.9,72.43,2026-04-10,2026-04-10,1,1,1.49,1.49,22.90541,72.431,1,1.0,Non-Persistent
22.86,72.3,2026-05-25,2026-05-25,1,1,1.41,1.41,22.86722,72.3024,1,1.0,Non-Persistent
23.07,72.39,2026-05-20,2026-05-20,1,1,1.3,1.3,23.07141,72.39342,1,1.0,Non-Persistent
22.97,72.29,2026-05-26,2026-05-26,1,1,1.29,1.29,22.97136,72.29837,1,1.0,Non-Persistent
22.99,72.49,2026-04-10,2026-04-10,1,1,1.27,1.27,22.99735,72.49593,1,1.0,Non-Persistent
22.89,72.43,2026-05-17,2026-05-17,1,1,1.24,1.24,22.89622,72.43168,1,1.0,Non-Persistent
