event_id,latitude,longitude,acq_date,acq_time,satellite,instrument,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_km
FIRMS_0112,23.08708,72.40451,2026-04-14,2102,N20,VIIRS,,,industrial,,,4.266
FIRMS_0113,23.14291,72.34533,2026-04-16,756,N20,VIIRS,,,industrial,,,4.566
FIRMS_0114,23.09766,72.35985,2026-04-17,738,N20,VIIRS,,,industrial,,,5.518
FIRMS_0115,23.09801,72.35852,2026-04-17,738,N20,VIIRS,,,industrial,,,5.576
FIRMS_0116,22.78016,72.34639,2026-04-18,859,N20,VIIRS,,,industrial,,,0.884
FIRMS_0117,22.85525,72.52629,2026-04-18,859,N20,VIIRS,,,industrial,,,5.117
FIRMS_0118,22.85662,72.52569,2026-04-18,859,N20,VIIRS,,,industrial,,,5.093
FIRMS_0119,22.97871,72.56477,2026-04-18,2127,N20,VIIRS,,,industrial,,,0.398
FIRMS_0120,22.7823,72.3466,2026-04-20,821,N20,VIIRS,,,industrial,,,1.11
FIRMS_0121,22.97903,72.56763,2026-04-20,2049,N20,VIIRS,,,industrial,,,0.15
FIRMS_0122,22.95614,72.57651,2026-04-21,803,N20,VIIRS,,,industrial,,,0.991
FIRMS_0123,22.95196,72.56094,2026-04-21,2031,N20,VIIRS,Piplaj,,industrial,,,0.753
FIRMS_0124,22.99586,72.54735,2026-04-21,2031,N20,VIIRS,,,industrial,,,1.017
FIRMS_0125,22.92417,72.51684,2026-04-22,744,N20,VIIRS,,,industrial,,,4.062
FIRMS_0126,22.92444,72.51591,2026-04-22,744,N20,VIIRS,,,industrial,,,4.139
FIRMS_0127,22.92534,72.27306,2026-04-22,744,N20,VIIRS,,,industrial,,,4.588
FIRMS_0128,22.97361,72.55895,2026-04-23,905,N20,VIIRS,,,industrial,,,0.078
FIRMS_0129,23.07861,72.32619,2026-04-23,905,N20,VIIRS,,,,,generator,2.475
FIRMS_0130,23.08136,72.32452,2026-04-23,905,N20,VIIRS,,,,,generator,2.251
FIRMS_0131,22.97618,72.56326,2026-04-23,2133,N20,VIIRS,,,industrial,,,0.525
FIRMS_0132,22.83231,72.52499,2026-04-24,846,N20,VIIRS,,,industrial,,,6.554
FIRMS_0133,22.83278,72.52921,2026-04-24,846,N20,VIIRS,,,industrial,,,6.135
FIRMS_0134,23.01619,72.63089,2026-04-24,846,N20,VIIRS,,,industrial,,,0.297
FIRMS_0135,23.07626,72.48165,2026-04-24,847,N20,VIIRS,,,industrial,,,1.514
FIRMS_0136,22.97655,72.56552,2026-04-24,2115,N20,VIIRS,,,industrial,,,0.351
FIRMS_0137,22.9806,72.56644,2026-04-24,2115,N20,VIIRS,,,industrial,,,0.362
FIRMS_0138,22.83576,72.56556,2026-04-25,828,N20,VIIRS,,,industrial,,,2.703
FIRMS_0139,22.96237,72.54801,2026-04-25,828,N20,VIIRS,"Chiripal industries ,pirana",,,works,,1.059
FIRMS_0140,23.01382,72.33582,2026-04-26,2037,N20,VIIRS,,,industrial,,,0.494
FIRMS_0141,22.93092,72.26733,2026-04-27,750,N20,VIIRS,,,industrial,,,3.808
FIRMS_0142,22.95882,72.54778,2026-04-27,750,N20,VIIRS,Piplaj,,industrial,,,1.043
FIRMS_0143,22.96,72.54593,2026-04-27,750,N20,VIIRS,Piplaj,,industrial,,,1.247
FIRMS_0144,23.01009,72.39418,2026-04-28,731,N20,VIIRS,,,industrial,container_terminal,,1.941
FIRMS_0145,22.98177,72.56716,2026-04-28,2140,N20,VIIRS,,,industrial,,,0.443
FIRMS_0146,23.01806,72.67479,2026-04-29,853,N20,VIIRS,,,industrial,,,0.622
FIRMS_0147,23.0193,72.672,2026-04-29,853,N20,VIIRS,,,industrial,,,0.803
FIRMS_0148,23.0284,72.26031,2026-04-29,853,N20,VIIRS,,,industrial,,,0.884
FIRMS_0149,23.14301,72.55698,2026-04-29,853,N20,VIIRS,ICD Khodiyar depot,,industrial,,,2.59
FIRMS_0150,22.9789,72.56432,2026-05-04,2127,N20,VIIRS,,,industrial,,,0.447
FIRMS_0151,22.86737,72.53522,2026-05-05,840,N20,VIIRS,,,industrial,,,3.699
FIRMS_0152,23.02414,72.26765,2026-05-07,803,N20,VIIRS,,,,works,,0.67
FIRMS_0153,22.9559,72.34708,2026-05-07,2031,N20,VIIRS,,,industrial,,,6.173
FIRMS_0154,22.77398,72.62425,2026-05-09,905,N20,VIIRS,,,industrial,,,1.774
FIRMS_0155,22.77813,72.62357,2026-05-09,905,N20,VIIRS,,,industrial,,,1.479
FIRMS_0156,22.80109,72.33934,2026-05-09,905,N20,VIIRS,,,industrial,,,0.846
FIRMS_0157,22.97745,72.56644,2026-05-09,2133,N20,VIIRS,,,industrial,,,0.227
FIRMS_0158,22.88142,72.34779,2026-05-10,846,N20,VIIRS,,,industrial,,,0.895
FIRMS_0159,23.235,72.31001,2026-05-10,847,N20,VIIRS,Shiyapura Hydro Power Plant No.1,,industrial,,plant,3.1
FIRMS_0160,22.97958,72.56837,2026-05-11,2056,N20,VIIRS,,,industrial,,,0.177
FIRMS_0161,23.08735,72.64814,2026-05-13,750,N20,VIIRS,,,industrial,,,1.666
FIRMS_0162,23.24856,72.34502,2026-05-13,750,N20,VIIRS,Shiyapura Hydro Power Plant No.1,,industrial,,plant,0.845
FIRMS_0163,23.00257,72.43394,2026-05-14,731,N20,VIIRS,,,industrial,container_terminal,,5.608
FIRMS_0164,22.97653,72.56532,2026-05-14,2140,N20,VIIRS,,,industrial,,,0.371
FIRMS_0165,23.02881,72.27522,2026-05-14,2140,N20,VIIRS,,,,works,,0.135
FIRMS_0166,23.03378,72.27535,2026-05-14,2140,N20,VIIRS,,,industrial,,,0.404
FIRMS_0167,22.91651,72.39276,2026-05-15,853,N20,VIIRS,,,industrial,,,3.093
FIRMS_0168,22.99721,72.47493,2026-05-16,834,N20,VIIRS,,,industrial,,,2.447
FIRMS_0169,22.89622,72.43168,2026-05-17,2043,N20,VIIRS,,,industrial,,,0.575
FIRMS_0170,23.02804,72.26569,2026-05-17,2043,N20,VIIRS,,,industrial,,,0.427
FIRMS_0171,23.10855,72.38129,2026-05-18,756,N20,VIIRS,,,industrial,,,4.324
FIRMS_0172,22.77143,72.3934,2026-05-19,738,N20,VIIRS,,,industrial,,,4.136
FIRMS_0173,22.90704,72.42893,2026-05-19,738,N20,VIIRS,,,industrial,,,0.521
FIRMS_0174,22.90734,72.42881,2026-05-19,738,N20,VIIRS,,,industrial,,,0.488
FIRMS_0175,23.07731,72.45467,2026-05-19,738,N20,VIIRS,,,industrial,,,2.964
FIRMS_0176,23.12602,72.52242,2026-05-19,2146,N20,VIIRS,,,industrial,,,3.922
FIRMS_0177,23.07141,72.39342,2026-05-20,859,N20,VIIRS,,,industrial,,,3.717
FIRMS_0178,22.98005,72.5644,2026-05-20,2127,N20,VIIRS,,,industrial,,,0.484
FIRMS_0179,22.77568,72.33967,2026-05-21,840,N20,VIIRS,Kerala GIDC,,industrial,,,0.905
FIRMS_0180,22.83762,72.65168,2026-05-21,840,N20,VIIRS,,,industrial,,,2.975
FIRMS_0181,22.76736,72.29189,2026-05-21,2109,N20,VIIRS,,,industrial,,,2.387
FIRMS_0182,22.91299,72.44592,2026-05-22,2050,N20,VIIRS,,,,works,,0.31
FIRMS_0183,23.01477,72.3363,2026-05-22,2050,N20,VIIRS,,,industrial,,,0.512
FIRMS_0184,22.80524,72.28105,2026-05-23,803,N20,VIIRS,,,industrial,,,4.997
FIRMS_0185,22.88043,72.5886,2026-05-25,725,N20,VIIRS,,,industrial,,,0.364
FIRMS_0186,22.86722,72.3024,2026-05-25,906,N20,VIIRS,,,industrial,,,5.745
FIRMS_0187,22.94851,72.34847,2026-05-25,906,N20,VIIRS,,,,works,,6.916
FIRMS_0188,22.94888,72.35261,2026-05-25,906,N20,VIIRS,,,industrial,,,6.891
FIRMS_0189,23.05617,72.30385,2026-05-25,906,N20,VIIRS,,,,,generator,2.543
FIRMS_0190,22.9794,72.56454,2026-05-25,2134,N20,VIIRS,,,industrial,,,0.442
FIRMS_0191,22.94755,72.34718,2026-05-26,847,N20,VIIRS,,,,works,,6.855
FIRMS_0192,22.97136,72.29837,2026-05-26,847,N20,VIIRS,,,,works,,1.237
FIRMS_0193,22.97887,72.56647,2026-05-26,2115,N20,VIIRS,,,industrial,,,0.236
FIRMS_0194,22.81406,72.27465,2026-05-27,828,N20,VIIRS,,,industrial,,,6.08
FIRMS_0195,22.81517,72.28223,2026-05-27,828,N20,VIIRS,,,industrial,,,5.542
FIRMS_0196,22.88746,72.6228,2026-05-27,828,N20,VIIRS,,,industrial,,,2.888
FIRMS_0197,22.97866,72.56733,2026-05-27,2056,N20,VIIRS,,,industrial,,,0.147
FIRMS_0198,22.97047,72.55386,2026-05-28,2038,N20,VIIRS,,,industrial,,,0.08
FIRMS_0199,22.84821,72.34388,2026-05-30,912,N20,VIIRS,,,industrial,,,2.152
FIRMS_0200,23.09093,72.35571,2026-05-30,912,N20,VIIRS,,,industrial,,,4.864
FIRMS_0201,23.09496,72.35213,2026-05-30,912,N20,VIIRS,,,,,generator,5.209
FIRMS_0202,23.09537,72.35742,2026-05-30,912,N20,VIIRS,,,industrial,,,5.307
